time,event,event_type,process,device,ready_queue,wait_queue,cpus,ios
6,6 dispatched to IO2,dispatch_io,6,IO2,"['9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '2']",[],"['5', '8', '3', '7']","['1', '4', '6', None]"
8,1 finished I/O → ready queue,io_to_ready,1,IO0,"['9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '2', '1']",[],"['5', '8', '3', '7']","[None, '4', '6', None]"
10,3 finished CPU → ready queue,cpu_to_ready,3,CPU2,"['9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '2', '1', '3']",[],"['5', '8', None, '7']","[None, '4', '6', None]"
10,9 dispatched to CPU2,dispatch_cpu,9,CPU2,"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '2', '1', '3']",[],"['5', '8', '9', '7']","[None, '4', '6', None]"
11,6 finished I/O → ready queue,io_to_ready,6,IO2,"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '2', '1', '3', '6']",[],"['5', '8', '9', '7']","[None, '4', None, None]"
12,7 finished CPU → ready queue,cpu_to_ready,7,CPU3,"['10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '2', '1', '3', '6', '7']",[],"['5', '8', '9', None]","[None, '4', None, None]"
12,10 dispatched to CPU3,dispatch_cpu,10,CPU3,"['11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '2', '1', '3', '6', '7']",[],"['5', '8', '9', '10']","[None, '4', None, None]"
15,8 finished CPU → wait queue,cpu_to_io,8,CPU1,"['11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '2', '1', '3', '6', '7']",['8'],"['5', None, '9', '10']","[None, '4', None, None]"
15,11 dispatched to CPU1,dispatch_cpu,11,CPU1,"['12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '2', '1', '3', '6', '7']",['8'],"['5', '11', '9', '10']","[None, '4', None, None]"
15,8 dispatched to IO0,dispatch_io,8,IO0,"['12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '2', '1', '3', '6', '7']",[],"['5', '11', '9', '10']","['8', '4', None, None]"
16,10 finished CPU → wait queue,cpu_to_io,10,CPU3,"['12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '2', '1', '3', '6', '7']",['10'],"['5', '11', '9', None]","['8', '4', None, None]"
16,12 dispatched to CPU3,dispatch_cpu,12,CPU3,"['13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '2', '1', '3', '6', '7']",['10'],"['5', '11', '9', '12']","['8', '4', None, None]"
16,10 dispatched to IO2,dispatch_io,10,IO2,"['13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '2', '1', '3', '6', '7']",[],"['5', '11', '9', '12']","['8', '4', '10', None]"
17,5 finished CPU → wait queue,cpu_to_io,5,CPU0,"['13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '2', '1', '3', '6', '7']",['5'],"[None, '11', '9', '12']","['8', '4', '10', None]"
17,13 dispatched to CPU0,dispatch_cpu,13,CPU0,"['14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '2', '1', '3', '6', '7']",['5'],"['13', '11', '9', '12']","['8', '4', '10', None]"
17,5 dispatched to IO3,dispatch_io,5,IO3,"['14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '2', '1', '3', '6', '7']",[],"['13', '11', '9', '12']","['8', '4', '10', '5']"
19,11 finished CPU → wait queue,cpu_to_io,11,CPU1,"['14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '2', '1', '3', '6', '7']",['11'],"['13', None, '9', '12']","['8', '4', '10', '5']"
19,4 finished I/O → ready queue,io_to_ready,4,IO1,"['14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '2', '1', '3', '6', '7', '4']",['11'],"['13', None, '9', '12']","['8', None, '10', '5']"
19,14 dispatched to CPU1,dispatch_cpu,14,CPU1,"['15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '2', '1', '3', '6', '7', '4']",['11'],"['13', '14', '9', '12']","['8', None, '10', '5']"
