time, event                        , event_type  , process, device, ready_queue                                          , wait_queue                            , cpus                , ios
 147, 2 finished CPU → wait queue  , cpu_to_io   ,       2, CPU0  , []                                                   , "['7', '6', '8', '5', '9', '2']"      , "[None, None, None]", ['3']
 155, 3 finished I/O → ready queue , io_to_ready ,       3, IO0   , ['3']                                                , "['7', '6', '8', '5', '9', '2']"      , "[None, None, None]", [None]
 155, 3 dispatched to CPU0         , dispatch_cpu,       3, CPU0  , []                                                   , "['7', '6', '8', '5', '9', '2']"      , "['3', None, None]" , [None]
 155, 7 dispatched to IO0          , dispatch_io ,       7, IO0   , []                                                   , "['6', '8', '5', '9', '2']"           , "['3', None, None]" , ['7']
 157, 3 finished CPU → ready queue , cpu_to_ready,       3, CPU0  , ['3']                                                , "['6', '8', '5', '9', '2']"           , "[None, None, None]", ['7']
 157, 3 dispatched to CPU0         , dispatch_cpu,       3, CPU0  , []                                                   , "['6', '8', '5', '9', '2']"           , "['3', None, None]" , ['7']
 159, 7 finished I/O → ready queue , io_to_ready ,       7, IO0   , ['7']                                                , "['6', '8', '5', '9', '2']"           , "['3', None, None]" , [None]
 159, 7 dispatched to CPU1         , dispatch_cpu,       7, CPU1  , []                                                   , "['6', '8', '5', '9', '2']"           , "['3', '7', None]"  , [None]
 159, 6 dispatched to IO0          , dispatch_io ,       6, IO0   , []                                                   , "['8', '5', '9', '2']"                , "['3', '7', None]"  , ['6']
 162, 7 finished CPU → wait queue  , cpu_to_io   ,       7, CPU1  , []                                                   , "['8', '5', '9', '2', '7']"           , "['3', None, None]" , ['6']
 164, 3 finished CPU → ready queue , cpu_to_ready,       3, CPU0  , ['3']                                                , "['8', '5', '9', '2', '7']"           , "[None, None, None]", ['6']
 164, 3 dispatched to CPU0         , dispatch_cpu,       3, CPU0  , []                                                   , "['8', '5', '9', '2', '7']"           , "['3', None, None]" , ['6']
 172, 3 finished CPU → wait queue  , cpu_to_io   ,       3, CPU0  , []                                                   , "['8', '5', '9', '2', '7', '3']"      , "[None, None, None]", ['6']
 172, 6 finished I/O → ready queue , io_to_ready ,       6, IO0   , ['6']                                                , "['8', '5', '9', '2', '7', '3']"      , "[None, None, None]", [None]
 172, 6 dispatched to CPU0         , dispatch_cpu,       6, CPU0  , []                                                   , "['8', '5', '9', '2', '7', '3']"      , "['6', None, None]" , [None]
 172, 8 dispatched to IO0          , dispatch_io ,       8, IO0   , []                                                   , "['5', '9', '2', '7', '3']"           , "['6', None, None]" , ['8']
 177, 6 finished CPU → ready queue , cpu_to_ready,       6, CPU0  , ['6']                                                , "['5', '9', '2', '7', '3']"           , "[None, None, None]", ['8']
 177, 6 dispatched to CPU0         , dispatch_cpu,       6, CPU0  , []                                                   , "['5', '9', '2', '7', '3']"           , "['6', None, None]" , ['8']
 178, 6 finished all bursts        , finished    ,       6, CPU0  , []                                                   , "['5', '9', '2', '7', '3']"           , "[None, None, None]", ['8']
 187, 8 finished I/O → ready queue , io_to_ready ,       8, IO0   , ['8']                                                , "['5', '9', '2', '7', '3']"           , "[None, None, None]", [None]
 187, 8 dispatched to CPU0         , dispatch_cpu,       8, CPU0  , []                                                   , "['5', '9', '2', '7', '3']"           , "['8', None, None]" , [None]
 187, 5 dispatched to IO0          , dispatch_io ,       5, IO0   , []                                                   , "['9', '2', '7', '3']"                , "['8', None, None]" , ['5']
 189, 8 finished CPU → wait queue  , cpu_to_io   ,       8, CPU0  , []                                                   , "['9', '2', '7', '3', '8']"           , "[None, None, None]", ['5']
 200, 5 finished I/O → ready queue , io_to_ready ,       5, IO0   , ['5']                                                , "['9', '2', '7', '3', '8']"           , "[None, None, None]", [None]
 200, 5 dispatched to CPU0         , dispatch_cpu,       5, CPU0  , []                                                   , "['9', '2', '7', '3', '8']"           , "['5', None, None]" , [None]
 200, 9 dispatched to IO0          , dispatch_io ,       9, IO0   , []                                                   , "['2', '7', '3', '8']"                , "['5', None, None]" , ['9']
 204, 5 finished CPU → ready queue , cpu_to_ready,       5, CPU0  , ['5']                                                , "['2', '7', '3', '8']"                , "[None, None, None]", ['9']
 204, 5 dispatched to CPU0         , dispatch_cpu,       5, CPU0  , []                                                   , "['2', '7', '3', '8']"                , "['5', None, None]" , ['9']
 211, 5 finished CPU → ready queue , cpu_to_ready,       5, CPU0  , ['5']                                                , "['2', '7', '3', '8']"                , "[None, None, None]", ['9']
 211, 5 dispatched to CPU0         , dispatch_cpu,       5, CPU0  , []                                                   , "['2', '7', '3', '8']"                , "['5', None, None]" , ['9']
 212, 5 finished all bursts        , finished    ,       5, CPU0  , []                                                   , "['2', '7', '3', '8']"                , "[None, None, None]", ['9']
 231, 9 finished I/O → ready queue , io_to_ready ,       9, IO0   , ['9']                                                , "['2', '7', '3', '8']"                , "[None, None, None]", [None]
 231, 9 dispatched to CPU0         , dispatch_cpu,       9, CPU0  , []                                                   , "['2', '7', '3', '8']"                , "['9', None, None]" , [None]
 231, 2 dispatched to IO0          , dispatch_io ,       2, IO0   , []                                                   , "['7', '3', '8']"                     , "['9', None, None]" , ['2']
 243, 9 finished CPU → ready queue , cpu_to_ready,       9, CPU0  , ['9']                                                , "['7', '3', '8']"                     , "[None, None, None]", ['2']
 243, 9 dispatched to CPU0         , dispatch_cpu,       9, CPU0  , []                                                   , "['7', '3', '8']"                     , "['9', None, None]" , ['2']
 251, 9 finished CPU → ready queue , cpu_to_ready,       9, CPU0  , ['9']                                                , "['7', '3', '8']"                     , "[None, None, None]", ['2']
 251, 9 dispatched to CPU0         , dispatch_cpu,       9, CPU0  , []                                                   , "['7', '3', '8']"                     , "['9', None, None]" , ['2']
 255, 9 finished CPU → ready queue , cpu_to_ready,       9, CPU0  , ['9']                                                , "['7', '3', '8']"                     , "[None, None, None]", ['2']
 255, 9 dispatched to CPU0         , dispatch_cpu,       9, CPU0  , []                                                   , "['7', '3', '8']"                     , "['9', None, None]" , ['2']
 256, 2 finished I/O → ready queue , io_to_ready ,       2, IO0   , ['2']                                                , "['7', '3', '8']"                     , "['9', None, None]" , [None]
 256, 2 dispatched to CPU1         , dispatch_cpu,       2, CPU1  , []                                                   , "['7', '3', '8']"                     , "['9', '2', None]"  , [None]
 256, 7 dispatched to IO0          , dispatch_io ,       7, IO0   , []                                                   , "['3', '8']"                          , "['9', '2', None]"  , ['7']
 261, 2 finished CPU → ready queue , cpu_to_ready,       2, CPU1  , ['2']                                                , "['3', '8']"                          , "['9', None, None]" , ['7']
 261, 2 dispatched to CPU1         , dispatch_cpu,       2, CPU1  , []                                                   , "['3', '8']"                          , "['9', '2', None]"  , ['7']
 262, 7 finished I/O → ready queue , io_to_ready ,       7, IO0   , ['7']                                                , "['3', '8']"                          , "['9', '2', None]"  , [None]
 262, 7 dispatched to CPU2         , dispatch_cpu,       7, CPU2  , []                                                   , "['3', '8']"                          , "['9', '2', '7']"   , [None]
 262, 3 dispatched to IO0          , dispatch_io ,       3, IO0   , []                                                   , ['8']                                 , "['9', '2', '7']"   , ['3']
 263, 2 finished CPU → wait queue  , cpu_to_io   ,       2, CPU1  , []                                                   , "['8', '2']"                          , "['9', None, '7']"  , ['3']
 264, 7 finished CPU → wait queue  , cpu_to_io   ,       7, CPU2  , []                                                   , "['8', '2', '7']"                     , "['9', None, None]" , ['3']
 265, 9 finished CPU → ready queue , cpu_to_ready,       9, CPU0  , ['9']                                                , "['8', '2', '7']"                     , "[None, None, None]", ['3']
 265, 9 dispatched to CPU0         , dispatch_cpu,       9, CPU0  , []                                                   , "['8', '2', '7']"                     , "['9', None, None]" , ['3']
 266, 9 finished all bursts        , finished    ,       9, CPU0  , []                                                   , "['8', '2', '7']"                     , "[None, None, None]", ['3']
 275, 3 finished I/O → ready queue , io_to_ready ,       3, IO0   , ['3']                                                , "['8', '2', '7']"                     , "[None, None, None]", [None]
 275, 3 dispatched to CPU0         , dispatch_cpu,       3, CPU0  , []                                                   , "['8', '2', '7']"                     , "['3', None, None]" , [None]
 275, 8 dispatched to IO0          , dispatch_io ,       8, IO0   , []                                                   , "['2', '7']"                          , "['3', None, None]" , ['8']
 278, 3 finished CPU → wait queue  , cpu_to_io   ,       3, CPU0  , []                                                   , "['2', '7', '3']"                     , "[None, None, None]", ['8']
 292, 8 finished I/O → ready queue , io_to_ready ,       8, IO0   , ['8']                                                , "['2', '7', '3']"                     , "[None, None, None]", [None]
 292, 8 dispatched to CPU0         , dispatch_cpu,       8, CPU0  , []                                                   , "['2', '7', '3']"                     , "['8', None, None]" , [None]
 292, 2 dispatched to IO0          , dispatch_io ,       2, IO0   , []                                                   , "['7', '3']"                          , "['8', None, None]" , ['2']
 294, 8 finished CPU → ready queue , cpu_to_ready,       8, CPU0  , ['8']                                                , "['7', '3']"                          , "[None, None, None]", ['2']
 294, 8 dispatched to CPU0         , dispatch_cpu,       8, CPU0  , []                                                   , "['7', '3']"                          , "['8', None, None]" , ['2']
 295, 8 finished CPU → ready queue , cpu_to_ready,       8, CPU0  , ['8']                                                , "['7', '3']"                          , "[None, None, None]", ['2']
 295, 8 dispatched to CPU0         , dispatch_cpu,       8, CPU0  , []                                                   , "['7', '3']"                          , "['8', None, None]" , ['2']
 301, 8 finished CPU → wait queue  , cpu_to_io   ,       8, CPU0  , []                                                   , "['7', '3', '8']"                     , "[None, None, None]", ['2']
 316, 2 finished I/O → ready queue , io_to_ready ,       2, IO0   , ['2']                                                , "['7', '3', '8']"                     , "[None, None, None]", [None]
 316, 2 dispatched to CPU0         , dispatch_cpu,       2, CPU0  , []                                                   , "['7', '3', '8']"                     , "['2', None, None]" , [None]
 316, 7 dispatched to IO0          , dispatch_io ,       7, IO0   , []                                                   , "['3', '8']"                          , "['2', None, None]" , ['7']
 319, 7 finished I/O → ready queue , io_to_ready ,       7, IO0   , ['7']                                                , "['3', '8']"                          , "['2', None, None]" , [None]
 319, 7 dispatched to CPU1         , dispatch_cpu,       7, CPU1  , []                                                   , "['3', '8']"                          , "['2', '7', None]"  , [None]
 319, 3 dispatched to IO0          , dispatch_io ,       3, IO0   , []                                                   , ['8']                                 , "['2', '7', None]"  , ['3']
 321, 2 finished CPU → wait queue  , cpu_to_io   ,       2, CPU0  , []                                                   , "['8', '2']"                          , "[None, '7', None]" , ['3']
 321, 7 finished all bursts        , finished    ,       7, CPU1  , []                                                   , "['8', '2']"                          , "[None, None, None]", ['3']
 327, 3 finished I/O → ready queue , io_to_ready ,       3, IO0   , ['3']                                                , "['8', '2']"                          , "[None, None, None]", [None]
 327, 3 dispatched to CPU0         , dispatch_cpu,       3, CPU0  , []                                                   , "['8', '2']"                          , "['3', None, None]" , [None]
 327, 8 dispatched to IO0          , dispatch_io ,       8, IO0   , []                                                   , ['2']                                 , "['3', None, None]" , ['8']
